ID,Age,Gender,Province,Education,Religion,Employment,Ideology
R_2Wu0jeDP2crJZpq,62,A man,Ontario,Bachelor's degree,Catholic,Retired,8
R_1dAdPpMSNlbDJTF,32,A man,Ontario,Bachelor's degree,None/Atheist,Working full-time,4
R_1nTIzCIUyStGwZJ,34,A man,Ontario,College/technical diploma,None/Atheist,Working full-time,4
R_3G88WcflupE6cZO,67,A woman,British Columbia,Bachelor's degree,Don't know/ Prefer not to answer,Retired,6
R_2vigwhxt2FG5ihm,66,A woman,British Columbia,Professional degree or doctorate,Agnostic,Self-employed,6
R_2z8xJEIRjGaLtqB,67,A man,Quebec,Master's degree,Catholic,Retired,7
R_3OdyWbYS9KtEaMJ,37,A man,Ontario,High school,Catholic,Self-employed,6
R_29iiuc9rXjUIbVA,68,A woman,Ontario,Bachelor's degree,Protestant,Retired,9
R_27WGBQiMpyNCHmc,61,A woman,British Columbia,Bachelor's degree,Buddhist,Self-employed,4
R_tPC5L8Tw6luTsop,31,A woman,Quebec,College/technical diploma,None/Atheist,Working full-time,7
R_vUlT7jrXybSQ6sx,42,A woman,Ontario,Bachelor's degree,Don't know/ Prefer not to answer,Caring for family,3
R_1dafxXg5oKNuofQ,65,A woman,Ontario,Some post-secondary,Catholic,Retired,0
R_1q57buTSmNsMIqL,64,A woman,Manitoba,Bachelor's degree,None/Atheist,Retired,5
R_3pr2hyNP9hyomgo,69,A woman,Ontario,Bachelor's degree,Protestant,Retired,7
R_DBnspCtawnvRUNX,64,A woman,Newfoundland and Labrador,College/technical diploma,Evangelical/Pentecostal,Working part-time,8
R_6Dyo2klkE6NZJSN,49,A man,Alberta,Master's degree,Orthodox Christian,Unemployed,5
R_2B2kTXliSOLC2aK,46,A woman,Ontario,Bachelor's degree,None/Atheist,Working full-time,4
R_2CPaDGPcWLcSkzV,47,A woman,Ontario,Some post-secondary,Evangelical/Pentecostal,Working part-time,5
R_ULc9oL7y5NgHCcp,68,A man,British Columbia,Some post-secondary,None/Atheist,Retired,5
R_28BecXIsc25YU9X,59,A man,Quebec,Master's degree,Jewish,Self-employed,6
R_3njfkeEp00ONu0q,54,A man,Ontario,Bachelor's degree,Catholic,Retired,5
R_1LzNk6mGtbNm9Jn,29,A woman,Quebec,Bachelor's degree,None/Atheist,Working part-time,7
R_3MsZu9jac3bHoHy,62,A woman,Ontario,High school,Don't know/ Prefer not to answer,Retired,5
R_VQivgI4nwrZlkUV,58,A woman,Ontario,Some high school,Don't know/ Prefer not to answer,Working full-time,3
R_1JOBEIwxAhEhPy0,66,A woman,British Columbia,Some post-secondary,Other,Retired,7
R_1E54V9G16zwxpHz,68,A man,British Columbia,Master's degree,Agnostic,Retired,3
R_3ly9uWChqk0l9c0,65,A woman,Quebec,High school,Catholic,Retired,6
R_2B54AtKv0DE4gdY,28,A woman,Quebec,Bachelor's degree,None/Atheist,Working full-time,2
R_2fJLGevWwxij9Jf,68,A woman,Quebec,High school,Catholic,Retired,6
R_1DotsVzObkBRvfo,50,A man,Ontario,College/technical diploma,None/Atheist,Working full-time,0
R_2mJadSWBJNUNWAF,61,A man,Alberta,Some post-secondary,Catholic,Working part-time,3
R_3ph7iiuyBHO59Oe,54,A man,Manitoba,Some post-secondary,Catholic,Working full-time,10
R_3k70BdkvvVCW3rq,60,A woman,Quebec,High school,Catholic,Other,5
R_1Fezuk9e7E5mv60,67,A man,Ontario,Bachelor's degree,Agnostic,Retired,6
R_3r0NEMt1q9yB2oj,51,A man,Ontario,Bachelor's degree,Orthodox Christian,Working full-time,8
R_1eqsvQYbC4GNu1X,81,A man,Ontario,Master's degree,Protestant,Retired,7
R_27e4OU9EaMODIbP,63,A man,Ontario,Master's degree,None/Atheist,Retired,2
R_3k0XGXU4yIg7TJo,61,A woman,Ontario,Master's degree,None/Atheist,Caring for family,5
R_1K2Z8KGbp1fmVFW,39,A woman,Ontario,High school,Don't know/ Prefer not to answer,Disabled,8
R_33gvgYCjwl6J5GD,81,A man,Ontario,Some high school,United Church,Retired,8
R_WlEDJBS7v82Q3HH,37,A man,Ontario,Bachelor's degree,Presbyterian,Working full-time,7
R_2vkVOM1UlceC92T,69,A man,Ontario,High school,Catholic,Retired,5
R_3OjrGtZnJ3X1VXq,80,A man,Ontario,College/technical diploma,Agnostic,Retired,6
R_bfiFI3DeSxh6pMt,25,A man,Ontario,Bachelor's degree,Catholic,Working full-time,2
R_3fpKpxwZePSyXjZ,36,A man,Ontario,Bachelor's degree,Catholic,Working full-time,5
R_3OkL9l7BcgQgdLD,60,A woman,Ontario,High school,Catholic,Retired,6
R_pEsAKhc10qqPUlz,58,A woman,Ontario,Bachelor's degree,Catholic,Working full-time,8
R_1o4H1fubSe7FlNW,19,A woman,Ontario,High school,Agnostic,Working part-time,2
R_1dzT4ZdNKmTUYHe,26,A woman,Ontario,Bachelor's degree,Agnostic,Working full-time,3
R_2V3zi3XOYyREMwN,64,A man,Quebec,Some post-secondary,None/Atheist,Retired,5
R_1lucHmscj47bIEb,62,A man,Ontario,Bachelor's degree,Catholic,Working full-time,10
R_1mWA5VJSMVBcpJ4,57,A man,New Brunswick,Bachelor's degree,Don't know/ Prefer not to answer,Unemployed,4
R_3gZWpB6WxlOUWsA,65,A woman,Quebec,Some post-secondary,Catholic,Retired,3
R_qI0m78Q3aHVjydr,66,A man,Ontario,College/technical diploma,Presbyterian,Working full-time,10
R_1eFWvRT4hNbVVV1,60,A woman,Ontario,College/technical diploma,Catholic,Working full-time,7
R_wOkztv6sfJLKiel,58,A man,Nova Scotia,College/technical diploma,None/Atheist,Working full-time,0
R_25ZRYHACGxnqmoM,55,A man,Quebec,Bachelor's degree,Catholic,Working full-time,7
R_30qv36aXWZuK9M6,74,A man,Ontario,College/technical diploma,Catholic,Retired,7
R_2uEcYSjXuKiUR45,42,A man,Ontario,Some post-secondary,Jewish,Disabled,5
R_x6qMwhSZclNIdaN,42,A woman,Quebec,Elementary school,Don't know/ Prefer not to answer,Caring for family and working,3
R_1pRuOG0YodOvLGh,36,A man,Ontario,High school,None/Atheist,Self-employed,4
R_3e9Xu4Bc6CkscZW,50,A woman,Ontario,Bachelor's degree,None/Atheist,Working full-time,6
R_3FOSYv5VL5lSWem,73,A man,Quebec,College/technical diploma,Catholic,Retired,5
R_3q9cftXspJzpmT1,40,A woman,Ontario,Master's degree,None/Atheist,Unemployed,5
R_1oFmwjTk4VJVifX,80,A man,Ontario,Master's degree,Don't know/ Prefer not to answer,Retired,6
R_03uKnRBtdA1L6yR,32,A man,Alberta,Bachelor's degree,None/Atheist,Working full-time,7
R_1dagV1XDUQPaxsb,77,A woman,Ontario,College/technical diploma,United Church,Retired,5
R_xg9y7vveJfOhHrP,57,A man,Quebec,Bachelor's degree,Catholic,Working full-time,8
R_1HoCBsrbXZhUAvR,28,A man,Ontario,Master's degree,None/Atheist,Working full-time,7
R_Umf4hPm7lV3ydH3,64,A woman,Quebec,High school,Catholic,Working part-time,5
R_YWCbuTSQdmmcGKl,40,A woman,Ontario,Master's degree,Baptist,Working full-time,7
R_1dnUyqUZjOYJq6I,39,A man,Ontario,Bachelor's degree,Catholic,Working full-time,7
R_88plKzIEYDxrgIx,45,A woman,British Columbia,Bachelor's degree,Don't know/ Prefer not to answer,Working full-time,5
R_1GBOGHoURot4LaL,66,A woman,British Columbia,College/technical diploma,None/Atheist,Retired,5
R_8iCyNhsacB033NL,67,A man,Ontario,College/technical diploma,Jewish,Retired,6
R_siDszMVl4nP4M3T,33,A woman,Ontario,Some post-secondary,None/Atheist,Retired,5
R_2QhWE6XAuMba4Bv,35,A man,Quebec,High school,Catholic,Working full-time,7
R_3etojmHbLJ9iG2o,79,A man,New Brunswick,College/technical diploma,Lutheran,Retired,9
R_3ehoXYXAQqWJs0O,46,A man,Ontario,Master's degree,Buddhist,Working full-time,9
R_1eQ9yw4VZiaqbmc,34,A man,Prince Edward Island,High school,None/Atheist,Working full-time,9
R_3lspCSHxbzz3BSY,47,A man,Ontario,Professional degree or doctorate,Muslim,Working full-time,2
R_2475Kwb2I2OgUSc,46,A man,Ontario,Bachelor's degree,None/Atheist,Working full-time,6
R_3GvNdl07lXSgVNI,47,A woman,Quebec,Master's degree,Catholic,Working full-time,3
R_1LdFz3q5ZYyWlAn,57,A man,Quebec,Some post-secondary,None/Atheist,Working full-time,4
R_1dcTstX450VSSmc,71,A man,Ontario,Bachelor's degree,None/Atheist,Retired,3
R_3PppRCIrbDi29SI,48,A woman,Quebec,Bachelor's degree,Catholic,Working full-time,5
R_WwicbiS1rWlGbSx,65,A man,Nova Scotia,Some post-secondary,Protestant,Self-employed,7
R_Q6MdNP6ci3SeMDv,73,A man,Ontario,Bachelor's degree,Jewish,Retired,4
R_ZsHdiqtYgXoW9kl,63,A man,Ontario,Some post-secondary,Don't know/ Prefer not to answer,Working full-time,6
R_3DvZ2sBpbl11Vvw,72,A woman,Ontario,High school,Presbyterian,Retired,5
R_6qZbnjlq9YM576V,54,A man,Quebec,Bachelor's degree,None/Atheist,Working part-time,2
R_SCbTtgzZs19jCqB,50,A man,Ontario,College/technical diploma,Agnostic,Unemployed,2
R_sdiJ6GRAE4RO6Jz,61,A man,Prince Edward Island,Master's degree,Catholic,Retired,6
R_1Oq0q7YNnYH4kZY,40,A man,Quebec,Bachelor's degree,None/Atheist,Working full-time,5
R_6ujIPYl2lN6tB0R,56,A man,New Brunswick,College/technical diploma,None/Atheist,Working full-time,4
R_3Pq8ZhBgJTFG3jP,57,A woman,Ontario,College/technical diploma,Orthodox Christian,Working full-time,10
R_3rNF7hjVHlhwcvn,54,A woman,Ontario,Some post-secondary,Christian Reformed,Retired,6
R_4IXP7DR7WghEwBr,30,A man,Quebec,College/technical diploma,Catholic,Working part-time,4
R_3RaxWV5Sv7EBGck,23,A man,Alberta,Bachelor's degree,Don't know/ Prefer not to answer,Working part-time,5
R_3gL46e90ZGiLVaK,59,A man,Newfoundland and Labrador,Bachelor's degree,Protestant,Self-employed,2
R_1jwcaOI75WayZiW,73,A man,Ontario,Some high school,Catholic,Unemployed,7
R_2zCOda1QfjjD3Bn,83,A woman,Ontario,Some post-secondary,United Church,Retired,1
R_2Sc81E34iMB8t6h,99,A woman,Ontario,Professional degree or doctorate,None/Atheist,Working full-time,2
R_xgSawirnnr9s0wh,72,A woman,Ontario,College/technical diploma,Protestant,Retired,5
R_3MmPgIiFuXyh4Dq,73,A man,Ontario,Professional degree or doctorate,Don't know/ Prefer not to answer,Retired,3
R_1pmoOIKKfTzfvXa,67,A man,Ontario,Bachelor's degree,Protestant,Retired,6
R_2TKLkC7wEijVqZP,69,A woman,Ontario,Bachelor's degree,Catholic,Retired,9
R_3m1ZQTO5aB7NL3T,63,A man,Ontario,College/technical diploma,None/Atheist,Working full-time,4
R_W660MUHAU1z8tS9,49,A woman,Quebec,Bachelor's degree,None/Atheist,Working full-time,8
R_27pX4TbKdtCA8zV,56,A woman,Quebec,Some post-secondary,Catholic,Working part-time,6
R_2rkGW7gepqo2jRx,61,A woman,Ontario,Bachelor's degree,Jewish,Working full-time,8
R_XAGiODQKCnfV6uZ,61,A woman,Ontario,Professional degree or doctorate,Don't know/ Prefer not to answer,Disabled,5
R_1DVbP27gmfTmkzd,62,A man,Quebec,College/technical diploma,Catholic,Retired,4
R_2Y9bryBwr76EUGP,38,A woman,Quebec,High school,Catholic,Disabled,5
R_voCg53AHlpFDdC1,50,A woman,New Brunswick,College/technical diploma,Catholic,Working full-time,8
R_3O8ooMrKSlKmBNE,71,A man,Newfoundland and Labrador,Some post-secondary,United Church,Retired,5
R_6hwE8TsPGe5DvHz,49,A man,Ontario,Some post-secondary,Agnostic,Working full-time,5
R_1Q3lZMNgJZgsPws,51,A woman,Quebec,High school,None/Atheist,Retired,5
R_21dOatnEG6at8fC,56,A man,Ontario,Bachelor's degree,Catholic,Working full-time,7
R_2AM8MXZ7mzLYTIj,53,A woman,Quebec,College/technical diploma,Catholic,Don't know/ Prefer not to answer,5
R_2EgBmNRrKwsloXi,51,A man,Ontario,College/technical diploma,Catholic,Working full-time,5
R_1hyWWmzolSQJr9j,47,A woman,Ontario,Some post-secondary,Catholic,Unemployed,5
R_3QXFi6DCdfjQOuO,52,A man,British Columbia,Some post-secondary,Christian Reformed,Working full-time,6
R_2zAxUtxNimG6U8P,48,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Ontario,College/technical diploma,None/Atheist,Retired,2
R_w0gH1c3nlr1DQKR,57,A man,Quebec,College/technical diploma,None/Atheist,Retired,9
R_WvAsBAq1CKO4MP7,53,A man,Quebec,Master's degree,None/Atheist,Working full-time,7
R_2EGnr9wNzrkyn6S,47,A man,Ontario,College/technical diploma,Catholic,Working part-time,0
R_UQJqj9sPbudXx9T,82,A woman,Ontario,High school,Anglican,Retired,8
R_27CHmENx2OnOtUv,50,A woman,Newfoundland and Labrador,Master's degree,United Church,Working full-time,7
R_2pQOIoi1Q72GgYE,56,A man,Prince Edward Island,High school,None/Atheist,Working full-time,5
R_3gZXIxuLvc8x3tT,60,A man,Ontario,Master's degree,Mennonite,Self-employed,3
R_8dgkg3BELHFf97j,25,A man,Nova Scotia,Master's degree,Other,Working full-time,8
R_2ccNmCqb9mMjD1u,58,A man,Quebec,Bachelor's degree,Agnostic,Working full-time,4
R_31SeF0u0pSqPGv9,61,A man,Ontario,Some post-secondary,Other,Working full-time,6
R_3ps9UcX2gPxUbV2,54,A man,Ontario,High school,None/Atheist,Working full-time,5
R_2AYlwO3keBiRWW4,59,A man,Ontario,Some post-secondary,Catholic,Working full-time,4
R_7WB5qmdKcIdqN0t,31,A man,Manitoba,Bachelor's degree,Catholic,Self-employed,6
R_potjJp7X6q7UVRT,42,A woman,Quebec,Bachelor's degree,Catholic,Working full-time,8
R_3lDJ7CzHm01f1jq,73,A woman,Ontario,Master's degree,None/Atheist,Retired,0
R_2WM8gLQvk9yIxwB,29,A man,Ontario,Elementary school,Hindu,Working full-time,2
R_3ETsEvkWbN7wiMl,32,A man,Ontario,Master's degree,None/Atheist,Working full-time,3
R_2B4gPDT9cpf2GJe,19,A woman,Ontario,High school,Muslim,Student,0
R_zU97OqYwU4onifL,62,A woman,Ontario,Some post-secondary,Other,Retired,7
R_1eXmX6vR2el5Hai,44,A man,Ontario,Bachelor's degree,None/Atheist,Working full-time,5
R_6RPAvNtx48HTmY9,34,A woman,British Columbia,High school,None/Atheist,Working full-time,6
R_OpNtEGRq137VK4F,24,A man,Quebec,Bachelor's degree,Agnostic,Working full-time,6
R_9LCkZYCJosjQiTT,31,A man,Quebec,Some post-secondary,None/Atheist,Unemployed,2
R_3p4uqmGQurFFBAE,48,A man,Ontario,Bachelor's degree,Catholic,Working part-time,2
R_emQjGcjkI3Vsvn3,64,A man,Ontario,Some post-secondary,Anglican,Retired,5
R_2TnMZ06hKmbTdvf,32,A man,Alberta,College/technical diploma,Catholic,Working full-time,6
R_6XdpAU1oZUlNFnz,68,A woman,Ontario,Some post-secondary,Agnostic,Retired,7
R_2aK4DX0jtPiqfRy,57,A woman,Ontario,College/technical diploma,Don't know/ Prefer not to answer,Retired,5
R_2Cjt5ZeTBXIVLJj,47,A woman,Ontario,College/technical diploma,None/Atheist,Working full-time,4
R_2UXzqUZTVPIXXn5,31,A woman,Ontario,Some post-secondary,None/Atheist,Working full-time,3
R_eyb9obwN1lstOM1,69,A man,Nova Scotia,Bachelor's degree,Agnostic,Working full-time,2
R_ZHO0UMguCKWFL6p,28,A woman,Ontario,Some post-secondary,None/Atheist,Disabled,3
R_21vttM9TvtxfO3X,68,A woman,Newfoundland and Labrador,College/technical diploma,Catholic,Retired,8
R_d6DrsDqQGIboop3,59,A woman,Quebec,Some post-secondary,Catholic,Working full-time,4
R_1eqo0jIkPRVKyNS,36,A woman,Ontario,Bachelor's degree,Baptist,Working part-time,6
R_zcAcI7zbeTY3PIB,69,A man,Ontario,Some post-secondary,Don't know/ Prefer not to answer,Retired,7
R_2uDpsbpoPfeNUWa,34,A man,Ontario,Master's degree,Muslim,Working full-time,5
R_1dAF50FEG0yel9G,70,A woman,Ontario,Bachelor's degree,Catholic,Retired,7
R_2t2Ol2Kq6x1HaVo,71,A man,Ontario,College/technical diploma,Lutheran,Retired,4
R_3Em7zkSwCwfM1sw,39,A woman,Ontario,College/technical diploma,Don't know/ Prefer not to answer,Caring for family,5
R_3O2NkCoDKRXE4nM,56,A woman,Ontario,Bachelor's degree,United Church,Retired,3
R_ByqOkdMO22smd7H,49,A woman,Quebec,High school,Catholic,Self-employed,5
R_UMd6b5p2ZdfNmRH,35,A man,Ontario,Bachelor's degree,Protestant,Working full-time,2
R_UWry4KLwjXqlN5f,66,A man,Ontario,Some high school,Catholic,Working full-time,5
R_1Qg7InMRsJ5l84Y,43,A man,Quebec,High school,None/Atheist,Working full-time,6
R_3iQnUaaNDCRSAgq,69,A man,Ontario,Some post-secondary,None/Atheist,Retired,8
R_33ealWiuSsXFzO6,67,A woman,Newfoundland and Labrador,Bachelor's degree,None/Atheist,Retired,6
R_1Kw0WAwUq1u8lvT,56,A woman,Ontario,College/technical diploma,Protestant,Self-employed,4
R_2SdHVE41DAyqqRz,33,A woman,Ontario,Bachelor's degree,Catholic,Working full-time,5
R_1qhceWFKcBC4ZOY,30,A woman,Ontario,Master's degree,Anglican,Caring for family and working,2
R_33rPepmAvw5d58n,47,A man,British Columbia,Master's degree,Catholic,Working full-time,7
R_1MQmofpmaXIbrQe,40,A man,Ontario,Bachelor's degree,Muslim,Working full-time,4
R_6EYfg9PLNyUAZDr,55,A woman,Quebec,Bachelor's degree,Catholic,Retired,5
R_32VBjG3UNPdiHDG,75,A man,Ontario,Bachelor's degree,Anglican,Retired,4
R_x3e4nxnzetpJezD,67,A woman,Ontario,Bachelor's degree,Orthodox Christian,Self-employed,10
R_1OZTnsudSjxYnPk,68,A man,Alberta,High school,Lutheran,Retired,5
R_1NaeV8T3u5uLxIy,40,A man,Ontario,Bachelor's degree,Don't know/ Prefer not to answer,Working full-time,5
R_1LNWcvIIvcy2TIV,35,A woman,Ontario,Bachelor's degree,Agnostic,Working full-time,2
R_1QrqQ2uPpDTK3Bj,52,A man,Quebec,Bachelor's degree,None/Atheist,Unemployed,2
R_1OjCFAnugrIpgOh,30,A woman,Ontario,Master's degree,Don't know/ Prefer not to answer,Unemployed,5
R_1Oq5NSkwcGgE9t9,19,A woman,Ontario,Some post-secondary,None/Atheist,Self-employed,4
R_74hqaqfwxoIGjyF,45,A man,Quebec,Some post-secondary,Catholic,Disabled,5
R_6PyT5ZyMZkpTMt3,55,A woman,Ontario,College/technical diploma,Catholic,Retired,10
R_3ixsLJ6sjtRAoZA,62,A woman,Ontario,Bachelor's degree,Catholic,Working full-time,3
R_27295IePWJgviNc,70,A woman,Ontario,Some post-secondary,Protestant,Retired,4
R_wLUMwC3vnQhrwRj,36,A man,Ontario,Bachelor's degree,None/Atheist,Disabled,7
R_aauwU5huKxcj2bD,72,A woman,Ontario,Master's degree,Catholic,Retired,6
R_1LFnw0Hi1WyetMw,59,A woman,Quebec,College/technical diploma,Don't know/ Prefer not to answer,Working full-time,2
R_3374ZmZaFAe3SD2,83,A woman,Ontario,Bachelor's degree,United Church,Retired,8
R_3P7WgdG2bp44Li4,58,A man,Ontario,Some post-secondary,None/Atheist,Self-employed,4
R_A5Jx7wmuKlJshyh,56,A man,Quebec,College/technical diploma,Catholic,Retired,5
R_068M0pjC6pLxnrP,76,A man,Ontario,Professional degree or doctorate,Other,Retired,5
R_3CTURJqDojS7q22,64,A woman,Quebec,Elementary school,Anglican,Other,7
R_216AgN7aJ1DPJWj,78,A man,Ontario,Bachelor's degree,Presbyterian,Self-employed,2
R_22qRqLzMSLJrpBA,63,A man,Ontario,Bachelor's degree,Catholic,Working part-time,5
R_1MQYGHWikAMm9Bb,76,A woman,Ontario,High school,None/Atheist,Working part-time,1
R_2xWeCYlYGWFmY12,53,A man,Ontario,Some post-secondary,Agnostic,Working part-time,4
R_2SeI42e5EMiUfsF,62,A man,Quebec,High school,Catholic,Working part-time,3
R_25sci4nQTzswhxD,84,A man,British Columbia,College/technical diploma,Catholic,Retired,5
R_3m90RWYSBsWfxMX,44,A woman,Quebec,Some post-secondary,Catholic,Working full-time,8
R_p3Gd618o5Fvw1KF,64,A woman,Ontario,High school,Anglican,Retired,6
R_29nVQHDslDPFgEM,53,A man,Ontario,College/technical diploma,None/Atheist,Working full-time,7
R_3HHL1rJYxRWOdRh,29,A woman,Ontario,Master's degree,Hindu,Unemployed,6
R_3harGWap6BljVmN,49,A woman,Ontario,Master's degree,Catholic,Working full-time,5
R_2wuHFkzIIUtyTrO,56,A man,Ontario,Bachelor's degree,Jewish,Working full-time,7
R_1eCzK6RISI49WDm,71,A woman,Quebec,High school,Don't know/ Prefer not to answer,Retired,5
R_3LgLBpFI09AWO8C,70,A woman,Ontario,High school,Catholic,Retired,5
R_3KooJqreCaIuclH,67,A man,Ontario,Master's degree,Anglican,Retired,7
R_1jVA7952fg5RPVZ,40,A woman,Quebec,Bachelor's degree,Catholic,Working full-time,5
R_3lJmX2TYy4Q82LU,63,A man,Ontario,College/technical diploma,Catholic,Retired,7
R_1hETC0rWIuiGRhb,38,A man,Ontario,Bachelor's degree,Don't know/ Prefer not to answer,Working full-time,10
R_231eXErCBFZ6nYv,37,A man,Quebec,Bachelor's degree,Catholic,Working full-time,4
R_3Ph6xxgQAB6tVgL,52,A man,Quebec,Master's degree,Orthodox Christian,Working full-time,8
R_31yhSoSGRiAD4DF,47,A man,Quebec,High school,Catholic,Retired,6
R_1jND1By9Mi4rjk8,57,A man,New Brunswick,Some elementary school,None/Atheist,Disabled,2
R_1jQdMWSrrnR270M,46,A woman,Ontario,Bachelor's degree,None/Atheist,Working full-time,5
R_1JDU29EhlyVB2iZ,67,A man,Quebec,High school,Catholic,Retired,7
R_3FIgHk2m1gfKT3a,67,A man,Ontario,Master's degree,Catholic,Retired,7
R_2YrC3rqGHVw0w7q,65,A man,Ontario,Bachelor's degree,Catholic,Working full-time,8
R_RxGyBDopxfZaGCB,70,A man,New Brunswick,Bachelor's degree,Anglican,Retired,7
R_1DN1dYrnZyWa0F5,76,A man,Ontario,Bachelor's degree,Agnostic,Working part-time,6
R_1g8spMjlSySvT61,70,A man,Ontario,Bachelor's degree,Baptist,Retired,7
R_116Mm1EiH1tIFYI,65,A man,Nova Scotia,Bachelor's degree,Don't know/ Prefer not to answer,Retired,4
R_wMo9CepbUBp788p,40,A man,Quebec,College/technical diploma,None/Atheist,Working full-time,2
R_02PKl3Q8YQg9vDX,49,A man,Ontario,Master's degree,None/Atheist,Working full-time,10
R_6y9hM6YRWSw3isF,59,A man,Quebec,College/technical diploma,Orthodox Christian,Self-employed,5
R_z8bVHGiHmaNvGsp,34,A woman,Quebec,College/technical diploma,Christian Reformed,Working full-time,8
R_YWfYvqaPmGsIPHb,54,A woman,Ontario,Bachelor's degree,Catholic,Working full-time,8
R_3iWps4T08Df7DeR,47,A man,Quebec,Master's degree,Catholic,Working full-time,8
R_tQIAJ3nlQWX3cOZ,61,A woman,Ontario,Some post-secondary,Protestant,Self-employed,2
R_3EyYhRIghBqY3Ia,65,A woman,Ontario,Some post-secondary,Protestant,Retired,1
R_2P1eL8mtcyvahLk,34,A woman,Ontario,College/technical diploma,Baptist,Working full-time,5
R_ub1tTrAi3IsCDRv,55,A woman,Ontario,Some post-secondary,Catholic,Self-employed,3
R_30f8pw11d2Loi7p,50,A man,Quebec,High school,Hindu,Unemployed,5
R_s6eMTLGXIjgMj61,51,A woman,Ontario,Master's degree,Don't know/ Prefer not to answer,Working full-time,2
R_2sSiXO8KSYGm7EE,58,A woman,Quebec,Some post-secondary,Catholic,Working part-time,7
R_12tmY8N2PKUubCl,56,A woman,Quebec,Bachelor's degree,None/Atheist,Self-employed,0
R_3nIvu0ORn9VKC9V,62,A man,Quebec,High school,Catholic,Working part-time,6
R_3jea6eVhRXttc9S,67,A man,Ontario,Professional degree or doctorate,Catholic,Self-employed,8
R_2f1fpryu9Ev6Kbf,75,A woman,Quebec,High school,Catholic,Retired,6
R_3q7PTPZWCkqmK5U,61,A man,Quebec,Bachelor's degree,Don't know/ Prefer not to answer,Retired,4
R_1cYxsUXPHGUFh5G,73,A man,Ontario,Bachelor's degree,Catholic,Retired,6
